O_TIMESTAMP	OPEN	HIGH	LOW	CLOSE	VOLUME	C_TIMESTAMP	QUOTE_ASSET_VOLUME	N_OF_TRADES	TAKER_B_ASSET_V	TAKER_Q_ASSET_VOLUME	IGNORE
1503561600000	4153.80000000	4250.94000000	4136.33000000	4222.00000000	318.48383000	1503590399999	1333428.96677508	2978	116.43858200	488476.77493134	14134.68303832
1503590400000	4223.06000000	4371.68000000	4178.22000000	4316.01000000	222.23531300	1503619199999	941632.54219549	1577	41.66493800	177548.36165851	14231.32630532
1503619200000	4316.01000000	4370.00000000	4267.50000000	4329.00000000	242.61406900	1503647999999	1049847.50355262	2436	46.77082400	202935.99217119	13393.94329836
1503648000000	4317.81000000	4422.29000000	4261.13000000	4394.36000000	238.63971600	1503676799999	1032642.98497561	3101	39.89000200	173031.57600299	12894.49373380
1503676800000	4394.36000000	4453.91000000	4247.48000000	4280.68000000	92.35895500	1503705599999	402146.86083504	1017	13.43714800	58609.56757227	12945.43630782
1503705600000	4280.71000000	4319.70000000	4228.99000000	4319.70000000	70.34585600	1503734399999	301474.10402223	689	13.13180400	56462.68633170	11974.76368105
1503734400000	4319.70000000	4319.70000000	4221.14000000	4275.00000000	70.80806500	1503763199999	303217.38856551	606	17.89621600	76733.06066870	11875.93875457
1503763200000	4275.00000000	4367.00000000	4212.41000000	4337.44000000	86.95414700	1503791999999	373174.24074436	965	25.16212100	108168.05350205	11789.06750167
1503792000000	4332.51000000	4400.00000000	4293.42000000	4313.84000000	110.45858700	1503820799999	479722.70859871	1231	26.13303900	113763.62636385	11820.03940011
1503820800000	4331.29000000	4352.34000000	4285.54000000	4325.00000000	92.41610600	1503849599999	399080.82670547	1311	26.92062900	116582.77123078	11566.04001797
1503849600000	4290.01000000	4386.79000000	4290.01000000	4310.01000000	147.81789200	1503878399999	642776.52672139	1128	48.59769000	212095.78177752	11456.95307303
1503878400000	4310.01000000	4330.36000000	4124.54000000	4261.90000000	167.69255300	1503907199999	710965.61579394	1542	60.10960100	254707.99872497	11328.58336042
1503907200000	4261.90000000	4365.40000000	4226.93000000	4273.59000000	243.58058500	1503935999999	1045729.34856710	1449	62.36938800	269097.58155903	11221.09608673
1503936000000	4317.20000000	4399.82000000	4273.59000000	4386.69000000	192.56847800	1503964799999	834965.56143849	1358	20.30879300	88558.62582734	11075.45841897
1503964800000	4353.65000000	4404.07000000	4313.55000000	4329.02000000	207.31903300	1503993599999	904058.09116968	1512	46.88193100	205366.67640352	10984.18242369
1503993600000	4328.12000000	4625.85000000	4328.12000000	4570.00000000	216.81600000	1504022399999	961915.80517435	1540	54.43944400	244160.85136457	11120.44252187
1504022400000	4569.65000000	4624.99000000	4496.95000000	4587.48000000	179.40999500	1504051199999	816509.83948588	1107	42.12119200	192454.49291849	11050.54761867
1504051200000	4564.52000000	4647.51000000	4527.45000000	4550.02000000	268.97648100	1504079999999	1235103.29463362	1558	44.35635000	204454.32345502	11151.92108986
1504080000000	4550.00000000	4597.00000000	4416.01000000	4546.77000000	339.16530900	1504108799999	1535073.19909640	2537	115.45564700	524236.10238136	11113.66087771
1504108800000	4555.00000000	4609.92000000	4516.87000000	4555.14000000	200.32698100	1504137599999	913538.19293121	1456	36.25025500	165929.81167245	11438.91527360
1504137600000	4555.14000000	4628.12000000	4555.14000000	4592.16000000	212.64980600	1504166399999	975713.05640458	1444	31.62760400	145297.16264080	11323.12487680
1504166400000	4603.58000000	4685.55000000	4572.64000000	4648.82000000	218.87200600	1504195199999	1015806.83578914	1551	51.75619600	241031.37751856	10969.00551526
1504195200000	4648.82000000	4745.42000000	4638.98000000	4724.89000000	125.43499000	1504223999999	588358.83181812	1166	48.56352500	228013.99374298	10779.83873125
1504224000000	4689.89000000	4767.00000000	4654.88000000	4707.50000000	176.87411200	1504252799999	833040.51633816	1164	34.64014200	163977.91722640	10809.87920010
1504252800000	4715.00000000	4839.92000000	4708.09000000	4803.83000000	199.85436700	1504281599999	949989.83712100	1328	44.13344600	210237.11880360	10455.72340756
1504281600000	4756.46000000	4885.55000000	4738.94000000	4834.91000000	183.93788700	1504310399999	882135.20578700	1508	39.88651500	192039.39486734	10906.14445652
1504310400000	4796.16000000	4939.19000000	4473.35000000	4697.71000000	324.30813600	1504339199999	1535966.70306933	2744	148.35300100	700601.03573397	11356.80041870
1504339200000	4701.02000000	4709.40000000	4354.61000000	4460.19000000	329.54436100	1504367999999	1500343.32590915	2397	121.37012900	552277.95476569	11213.49746846
1504368000000	4465.12000000	4554.98000000	4286.87000000	4472.14000000	275.29609800	1504396799999	1221413.91583852	2334	109.47673300	485455.09491769	11416.45790779
1504396800000	4508.50000000	4714.76000000	4467.88000000	4620.87000000	232.32164200	1504425599999	1070867.11393850	1949	89.91877000	414673.53374299	12032.49903708
1504425600000	4610.52000000	4674.86000000	4298.33000000	4384.15000000	273.48503800	1504454399999	1217617.63049665	2512	106.06222200	471770.10924833	12246.14235475
1504454400000	4351.02000000	4583.84000000	4345.01000000	4509.08000000	185.40951800	1504483199999	832568.00786666	1561	62.95354400	283201.04860562	12653.02927308
1504483200000	4505.00000000	4527.49000000	4052.00000000	4186.96000000	357.24471600	1504511999999	1548560.02224750	2389	127.22911600	553001.63247859	11952.21730808
1504512000000	4102.05000000	4437.68000000	4014.76000000	4015.03000000	740.92126500	1504540799999	3140233.29779729	4490	339.00550100	1442641.48182591	11683.16806510
1504540800000	4015.03000000	4300.95000000	3972.51000000	4100.11000000	296.47863300	1504569599999	1221154.17004495	2438	112.36623400	464719.49861214	11672.89407588
1504569600000	4106.97000000	4190.40000000	3603.00000000	4190.40000000	500.57171600	1504598399999	1987273.22430675	4411	205.82769600	820682.18246556	11148.86503199
1504598400000	4190.00000000	4298.00000000	4050.00000000	4151.00000000	467.19087400	1504627199999	1958974.42508953	3581	205.98243200	864867.11604643	11795.07393517
1504627200000	4140.00000000	4484.99000000	4096.06000000	4366.47000000	261.17556700	1504655999999	1137205.53735443	2092	121.66593700	528748.54110047	11938.20199421
